idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
1449	1.5706E-01	6.3274E-01	5.9556E+00	-3.2170E-01	1.2723E+00	8.5008E+00	5.9130E-02	-1.1557E-01	1.1693E+00
1450	1.8943E-01	8.7733E-01	5.8293E+00	-5.0183E-01	2.4379E+00	1.3721E+01	5.8960E-02	-1.1753E-01	1.0230E+00
1451	1.6127E-01	2.0171E-01	2.9417E+00	-3.5552E-01	2.7721E+00	2.2891E+01	7.7689E-02	-1.5829E-01	1.2909E+00
1452	2.5592E-01	9.2441E-02	9.0037E-01	-6.8328E-01	1.5861E+00	7.0024E+00	8.8763E-02	-2.1947E-01	3.0000E+00
1453	1.6797E-01	3.5179E-01	2.3726E+00	-4.2273E-01	2.1022E+00	1.2030E+01	7.3456E-02	-1.4269E-01	1.1968E+00
1454	1.7226E-01	6.5256E-01	6.0153E+00	-4.3762E-01	2.8468E+00	2.5000E+01	8.3909E-02	-1.3249E-01	1.1601E+00
1455	2.5582E-01	2.2384E-02	3.9866E-01	-5.6076E-01	3.0237E+00	2.5000E+01	1.2178E-01	-2.7064E-01	3.0000E+00
1456	1.6878E-01	9.6805E-02	1.9552E-01	-4.3507E-01	8.9970E-01	2.5584E+00	5.1169E-02	-1.1874E-01	9.6528E-01
1457	1.8605E-01	3.2213E-01	3.9491E+00	-4.8730E-01	3.0232E+00	2.1622E+01	7.5504E-02	-1.7463E-01	8.2436E-01
1458	2.2897E-01	4.1237E-01	3.8574E+00	-6.0823E-01	2.0851E+00	1.3761E+01	8.8922E-02	-1.7748E-01	2.2374E+00
1459	1.9149E-01	2.2286E-01	2.4387E+00	-4.7589E-01	1.4356E+00	7.3173E+00	6.1633E-02	-1.2257E-01	1.9424E+00
1460	1.8253E-01	1.4928E-01	2.6187E+00	-3.9587E-01	2.0918E+00	1.6641E+01	5.4131E-02	-1.3407E-01	1.0638E+00
1461	1.6918E-01	7.3131E-01	5.8529E+00	-4.7903E-01	3.1230E+00	2.3801E+01	1.1335E-01	-1.7109E-01	1.3838E+00
1462	2.8184E-01	3.2713E-02	3.1336E-11	-7.3091E-01	1.3482E+00	5.6790E+00	8.1934E-02	-1.9592E-01	3.0000E+00
1463	1.8248E-01	8.7511E-01	7.6035E+00	-4.1799E-01	2.5938E+00	1.9041E+01	8.8436E-02	-1.5692E-01	1.4349E+00
1464	1.8099E-01	6.9411E-01	7.0099E+00	-4.2132E-01	1.8027E+00	1.2019E+01	4.4782E-02	-1.0378E-01	1.2979E+00
1465	1.8156E-01	3.0807E-01	3.9660E+00	-4.2567E-01	1.8922E+00	1.0991E+01	4.2654E-02	-1.3023E-01	1.2848E+00
1466	1.7375E-01	1.7403E-02	4.9445E-11	-4.9184E-01	1.4617E+00	4.7259E+00	5.0098E-02	-1.4033E-01	1.2334E+00
1467	1.9621E-01	2.0549E-11	1.6915E+00	-3.5965E-01	1.2125E+00	5.7673E+00	5.0629E-02	-1.3509E-01	1.1024E+00
1468	1.9953E-01	3.9255E-01	9.7330E-01	-4.5775E-01	2.0287E+00	1.0761E+01	6.5153E-02	-1.2191E-01	9.9540E-01
1469	1.8074E-01	6.6560E-01	5.8603E+00	-3.9893E-01	3.0412E+00	2.3157E+01	5.9634E-02	-1.3465E-01	1.6196E+00
1470	1.9441E-01	5.0581E-01	3.2432E+00	-3.7514E-01	1.4643E+00	7.2860E+00	8.7301E-03	-7.4015E-02	1.4721E+00
1471	1.6939E-01	8.4605E-01	7.6314E+00	-3.9106E-01	3.2940E+00	2.5000E+01	7.7882E-02	-1.6417E-01	1.0753E+00
1472	1.8640E-01	3.3862E-01	2.4518E+00	-7.7882E-01	8.8480E-01	8.5777E-01	3.7285E-02	-1.1160E-01	1.9200E+00
1473	1.9480E-01	2.2056E-06	1.2564E+00	-3.4970E-01	7.6568E-01	4.7825E+00	5.3660E-02	-1.1346E-01	1.0466E+00
1474	2.3684E-01	5.8790E-01	3.5224E+00	-6.6713E-01	2.1640E+00	9.9522E+00	2.8475E-02	-1.2642E-01	2.0281E+00
1475	1.8694E-01	1.2707E+00	8.5942E+00	-4.3944E-01	3.4750E+00	2.5000E+01	7.2695E-02	-1.3212E-01	1.3851E+00
1476	2.1409E-01	3.0600E-01	1.0459E+00	-5.6155E-01	2.0225E+00	9.3713E+00	6.4207E-02	-1.4424E-01	1.8873E+00
1477	2.0079E-01	5.5154E-01	3.9683E+00	-5.4280E-01	2.8060E+00	1.8013E+01	6.3533E-02	-1.4841E-01	1.8068E+00
1478	1.7181E-01	6.2820E-01	5.0696E+00	-4.2420E-01	3.1930E+00	2.4006E+01	5.2839E-02	-1.1573E-01	1.1900E+00
1479	1.7585E-01	7.8278E-01	6.9119E+00	-4.7988E-01	3.1075E+00	2.2533E+01	7.3322E-02	-1.3635E-01	1.0330E+00
1480	1.6326E-01	8.8688E-01	9.8312E+00	-3.6680E-01	2.8095E+00	2.5000E+01	6.9481E-02	-1.2793E-01	1.0101E+00
