idx	Nuv	auv	buv	Ndv	adv	bdv	Nub	Ndb	M1
4141	1.7093E-01	4.6064E-01	4.4394E+00	-4.1211E-01	2.4103E+00	1.6235E+01	5.8269E-02	-1.2692E-01	1.2894E+00
4142	1.6336E-01	4.8981E-01	4.5653E+00	-4.1120E-01	2.3632E+00	1.6049E+01	5.0737E-02	-1.2534E-01	1.3106E+00
4143	1.7583E-01	9.7344E-01	8.1085E+00	-4.1526E-01	2.3464E+00	1.5986E+01	8.3368E-02	-1.2860E-01	1.3328E+00
4144	1.7245E-01	6.9895E-01	5.8195E+00	-4.1501E-01	2.2744E+00	1.5459E+01	5.5298E-02	-1.2406E-01	1.2894E+00
4145	1.6917E-01	4.1452E-01	3.9489E+00	-4.1238E-01	2.3260E+00	1.5766E+01	6.9196E-02	-1.2974E-01	1.3417E+00
4146	1.7556E-01	5.7690E-01	4.7959E+00	-4.1161E-01	2.3174E+00	1.5590E+01	5.2939E-02	-1.2777E-01	1.3286E+00
4147	1.5983E-01	5.7086E-01	4.3514E+00	-4.1008E-01	2.3098E+00	1.5417E+01	6.5237E-02	-1.2947E-01	1.3465E+00
4148	1.6983E-01	7.0500E-01	5.2805E+00	-4.1466E-01	2.3810E+00	1.6090E+01	7.4179E-02	-1.3052E-01	1.3272E+00
4149	1.6914E-01	6.2668E-01	5.4917E+00	-4.1779E-01	2.4334E+00	1.6449E+01	4.4132E-02	-1.2125E-01	1.3200E+00
4150	1.7513E-01	5.5483E-01	4.3846E+00	-4.1311E-01	2.2442E+00	1.4984E+01	6.2336E-02	-1.2777E-01	1.3074E+00
4151	1.8838E-01	4.1690E-01	4.2215E+00	-4.0973E-01	2.3259E+00	1.5815E+01	4.2185E-02	-1.2962E-01	1.3479E+00
4152	1.6775E-01	2.9198E-01	4.2696E+00	-4.1309E-01	2.3687E+00	1.5948E+01	5.8451E-02	-1.2950E-01	1.2869E+00
4153	1.7638E-01	7.2403E-01	5.6065E+00	-4.1594E-01	2.3212E+00	1.5512E+01	7.7554E-02	-1.3006E-01	1.3073E+00
4154	1.7141E-01	6.3362E-01	5.0148E+00	-4.1007E-01	2.2911E+00	1.5581E+01	5.6642E-02	-1.2617E-01	1.3065E+00
4155	1.6617E-01	5.4192E-01	5.2036E+00	-4.1273E-01	2.3441E+00	1.5835E+01	5.7899E-02	-1.2873E-01	1.2980E+00
4156	1.8227E-01	4.6936E-01	4.6561E+00	-4.2103E-01	2.3298E+00	1.5833E+01	3.9266E-02	-1.2187E-01	1.3798E+00
4157	1.7439E-01	5.2817E-01	4.6991E+00	-4.1731E-01	2.4069E+00	1.6245E+01	5.3192E-02	-1.2598E-01	1.2960E+00
4158	1.7288E-01	6.5007E-01	5.9999E+00	-4.1348E-01	2.4636E+00	1.6602E+01	4.9617E-02	-1.2506E-01	1.2985E+00
