kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
9.500000E-01	-5.000312E-02	5.388223E-02	-1.516728E-03	4.805098E-03	-4.874093E-02	4.933467E-02	8.411261E-03	1.917922E-02	3.767623E-04	6.998468E-04	8.417636E-03	1.922765E-02
9.600000E-01	-4.785296E-02	5.158362E-02	-1.450560E-03	4.595944E-03	-4.664610E-02	4.723434E-02	8.257351E-03	1.852542E-02	3.619471E-04	6.782914E-04	8.255964E-03	1.855562E-02
9.700000E-01	-4.577622E-02	4.936263E-02	-1.386698E-03	4.394057E-03	-4.462275E-02	4.520474E-02	8.103783E-03	1.788999E-02	3.478136E-04	6.582166E-04	8.095004E-03	1.790271E-02
9.800000E-01	-4.377145E-02	4.721778E-02	-1.325094E-03	4.199286E-03	-4.266947E-02	4.324451E-02	7.950155E-03	1.727243E-02	3.343227E-04	6.394470E-04	7.934389E-03	1.726845E-02
9.900000E-01	-4.183718E-02	4.514753E-02	-1.265699E-03	4.011481E-03	-4.078482E-02	4.135227E-02	7.796165E-03	1.667224E-02	3.214372E-04	6.218194E-04	7.773839E-03	1.665240E-02
1.000000E+00	-3.997188E-02	4.315033E-02	-1.208465E-03	3.830486E-03	-3.896734E-02	3.952660E-02	7.641591E-03	1.608897E-02	3.091215E-04	6.051840E-04	7.613148E-03	1.605412E-02
1.010000E+00	-3.817404E-02	4.122458E-02	-1.153341E-03	3.656144E-03	-3.721553E-02	3.776607E-02	7.486288E-03	1.552219E-02	2.973416E-04	5.894046E-04	7.452179E-03	1.547318E-02
1.020000E+00	-3.644209E-02	3.936869E-02	-1.100277E-03	3.488299E-03	-3.552789E-02	3.606922E-02	7.330176E-03	1.497146E-02	2.860655E-04	5.743585E-04	7.290853E-03	1.490918E-02
1.030000E+00	-3.477448E-02	3.758102E-02	-1.049222E-03	3.326790E-03	-3.390290E-02	3.443457E-02	7.173229E-03	1.443639E-02	2.752633E-04	5.599367E-04	7.129144E-03	1.436173E-02
1.040000E+00	-3.316963E-02	3.585994E-02	-1.000125E-03	3.171458E-03	-3.233902E-02	3.286065E-02	7.015470E-03	1.391660E-02	2.649063E-04	5.460432E-04	6.967067E-03	1.383042E-02
1.050000E+00	-3.162596E-02	3.420380E-02	-9.529344E-04	3.022142E-03	-3.083472E-02	3.134596E-02	6.856963E-03	1.341170E-02	2.549682E-04	5.325942E-04	6.804675E-03	1.331489E-02
1.060000E+00	-3.014188E-02	3.261094E-02	-9.075999E-04	2.878682E-03	-2.938845E-02	2.988899E-02	6.697806E-03	1.292135E-02	2.454242E-04	5.195178E-04	6.642055E-03	1.281478E-02
1.070000E+00	-2.871580E-02	3.107972E-02	-8.640699E-04	2.740916E-03	-2.799867E-02	2.848825E-02	6.538123E-03	1.244521E-02	2.362511E-04	5.067525E-04	6.479316E-03	1.232973E-02
1.080000E+00	-2.734613E-02	2.960846E-02	-8.222935E-04	2.608684E-03	-2.666383E-02	2.714222E-02	6.378061E-03	1.198294E-02	2.274275E-04	4.942471E-04	6.316588E-03	1.185939E-02
1.090000E+00	-2.603129E-02	2.819553E-02	-7.822197E-04	2.481827E-03	-2.538239E-02	2.584941E-02	6.217787E-03	1.153424E-02	2.189337E-04	4.819589E-04	6.154020E-03	1.140343E-02
