kt	u	d	ub	db	uv	dv	du	dd	dub	ddb	duv	ddv
1.290000E+00	-8.692681E-03	9.535494E-03	-2.632487E-04	8.321825E-04	-8.474411E-03	8.749752E-03	7.215454E-04	2.309300E-04	4.330726E-05	2.302469E-05	7.194982E-04	2.246590E-04
1.300000E+00	-8.184982E-03	8.978484E-03	-2.478702E-04	7.835699E-04	-7.979484E-03	8.238663E-03	6.814416E-04	2.215529E-04	4.078924E-05	2.194971E-05	6.794327E-04	2.151146E-04
1.310000E+00	-7.703357E-03	8.450087E-03	-2.332817E-04	7.374545E-04	-7.509973E-03	7.753826E-03	6.433009E-04	2.124482E-04	3.840032E-05	2.091886E-05	6.413318E-04	2.058836E-04
1.320000E+00	-7.246707E-03	7.949093E-03	-2.194498E-04	6.937308E-04	-7.064807E-03	7.294131E-03	6.070440E-04	2.036117E-04	3.613503E-05	1.993044E-05	6.051162E-04	1.969585E-04
1.330000E+00	-6.813961E-03	7.474330E-03	-2.063422E-04	6.522965E-04	-6.642942E-03	6.858504E-03	5.725939E-04	1.950400E-04	3.398807E-05	1.898279E-05	5.707086E-04	1.883326E-04
1.340000E+00	-6.404082E-03	7.024659E-03	-1.939274E-04	6.130521E-04	-6.243369E-03	6.445900E-03	5.398757E-04	1.867293E-04	3.195429E-05	1.807436E-05	5.380342E-04	1.799989E-04
1.350000E+00	-6.016064E-03	6.598976E-03	-1.821750E-04	5.759012E-04	-5.865106E-03	6.055304E-03	5.088167E-04	1.786761E-04	3.002871E-05	1.720365E-05	5.070198E-04	1.719511E-04
1.360000E+00	-5.648933E-03	6.196210E-03	-1.710552E-04	5.407504E-04	-5.507203E-03	5.685736E-03	4.793464E-04	1.708768E-04	2.820648E-05	1.636925E-05	4.775950E-04	1.641826E-04
1.370000E+00	-5.301743E-03	5.815325E-03	-1.605397E-04	5.075093E-04	-5.168739E-03	5.336244E-03	4.513964E-04	1.633278E-04	2.648294E-05	1.556980E-05	4.496911E-04	1.566873E-04
1.380000E+00	-4.973581E-03	5.455319E-03	-1.506006E-04	4.760905E-04	-4.848824E-03	5.005910E-03	4.249005E-04	1.560255E-04	2.485355E-05	1.480400E-05	4.232418E-04	1.494591E-04
1.390000E+00	-4.663566E-03	5.115224E-03	-1.412112E-04	4.464093E-04	-4.546599E-03	4.693844E-03	3.997944E-04	1.489662E-04	2.331395E-05	1.407060E-05	3.981827E-04	1.424919E-04
1.400000E+00	-4.370845E-03	4.794104E-03	-1.323458E-04	4.183843E-04	-4.261232E-03	4.399189E-03	3.760162E-04	1.421461E-04	2.185992E-05	1.336841E-05	3.744518E-04	1.357797E-04
1.410000E+00	-4.094595E-03	4.491056E-03	-1.239793E-04	3.919365E-04	-3.991922E-03	4.121116E-03	3.535060E-04	1.355614E-04	2.048740E-05	1.269629E-05	3.519890E-04	1.293167E-04
1.420000E+00	-3.834025E-03	4.205212E-03	-1.160879E-04	3.669902E-04	-3.737897E-03	3.858828E-03	3.322058E-04	1.292080E-04	1.919245E-05	1.205314E-05	3.307362E-04	1.230970E-04
1.430000E+00	-3.588370E-03	3.935733E-03	-1.086482E-04	3.434721E-04	-3.498411E-03	3.611555E-03	3.120598E-04	1.230820E-04	1.797131E-05	1.143789E-05	3.106375E-04	1.171148E-04
1.440000E+00	-3.356896E-03	3.681813E-03	-1.016381E-04	3.213118E-04	-3.272750E-03	3.378559E-03	2.930142E-04	1.171791E-04	1.682034E-05	1.084954E-05	2.916389E-04	1.113642E-04
1.450000E+00	-3.138896E-03	3.442675E-03	-9.503619E-05	3.004418E-04	-3.060223E-03	3.159126E-03	2.750169E-04	1.114950E-04	1.573604E-05	1.028710E-05	2.736884E-04	1.058395E-04
1.460000E+00	-2.933690E-03	3.217575E-03	-8.882183E-05	2.807969E-04	-2.860170E-03	2.952574E-03	2.580180E-04	1.060254E-04	1.471507E-05	9.749625E-06	2.567359E-04	1.005349E-04
1.470000E+00	-2.740627E-03	3.005798E-03	-8.297528E-05	2.623147E-04	-2.671953E-03	2.758246E-03	2.419695E-04	1.007658E-04	1.375420E-05	9.236194E-06	2.407332E-04	9.544474E-05
1.480000E+00	-2.559081E-03	2.806656E-03	-7.747758E-05	2.449352E-04	-2.494963E-03	2.575512E-03	2.268249E-04	9.571161E-05	1.285033E-05	8.745926E-06	2.256340E-04	9.056323E-05
1.490000E+00	-2.388452E-03	2.619490E-03	-7.231056E-05	2.286010E-04	-2.328616E-03	2.403767E-03	2.125400E-04	9.085817E-05	1.200051E-05	8.277963E-06	2.113937E-04	8.588467E-05
1.500000E+00	-2.228165E-03	2.443672E-03	-6.745680E-05	2.132570E-04	-2.172352E-03	2.242433E-03	1.990719E-04	8.620074E-05	1.120189E-05	7.831478E-06	1.979696E-04	8.140338E-05
1.510000E+00	-2.077670E-03	2.278595E-03	-6.289962E-05	1.988506E-04	-2.025632E-03	2.090957E-03	1.863797E-04	8.173453E-05	1.045176E-05	7.405668E-06	1.853206E-04	7.711370E-05
1.520000E+00	-1.936441E-03	2.123684E-03	-5.862309E-05	1.853314E-04	-1.887946E-03	1.948808E-03	1.744241E-04	7.745465E-05	9.747528E-06	6.999754E-06	1.734074E-04	7.300999E-05
1.530000E+00	-1.803974E-03	1.978386E-03	-5.461195E-05	1.726511E-04	-1.758801E-03	1.815479E-03	1.631674E-04	7.335621E-05	9.086698E-06	6.612981E-06	1.621923E-04	6.908665E-05
1.540000E+00	-1.679788E-03	1.842173E-03	-5.085165E-05	1.607637E-04	-1.637731E-03	1.690487E-03	1.525735E-04	6.943424E-05	8.466902E-06	6.244617E-06	1.516390E-04	6.533811E-05
1.550000E+00	-1.563426E-03	1.714543E-03	-4.732828E-05	1.496253E-04	-1.524286E-03	1.573370E-03	1.426079E-04	6.568376E-05	7.885875E-06	5.893951E-06	1.417132E-04	6.175885E-05
1.560000E+00	-1.454449E-03	1.595014E-03	-4.402859E-05	1.391939E-04	-1.418042E-03	1.463687E-03	1.332376E-04	6.209977E-05	7.341457E-06	5.560295E-06	1.323816E-04	5.834339E-05
