i,obs,value,stat,syst1,Q2,x,z,pT,target,hadron
164,M_Hermes,0.02009582,0.001879071,0.0044036,1.834674,0.09568023,0.8650827,0.4012632,deuteron,k+
165,M_Hermes,0.02153024,0.001340591,0.01007813,1.834674,0.09568023,0.8642535,0.5230707,deuteron,k+
166,M_Hermes,0.01167998,0.000886004,0.002792063,1.834674,0.09568023,0.8653808,0.6985447,deuteron,k+
167,M_Hermes,0.005451804,0.000442308,0.00130251,1.834674,0.09568023,0.8532641,0.9039617,deuteron,k+
168,M_Hermes,0.3397937,0.02012387,0.08274015,2.882131,0.1519989,0.1438539,0.09954748,deuteron,k+
169,M_Hermes,0.791661,0.04120633,0.1444466,2.882131,0.1519989,0.1438305,0.2014305,deuteron,k+
170,M_Hermes,0.8512642,0.04946068,0.2419687,2.882131,0.1519989,0.142758,0.3006893,deuteron,k+
171,M_Hermes,0.7200498,0.04945784,0.2047441,2.882131,0.1519989,0.143026,0.4057784,deuteron,k+
172,M_Hermes,0.4844076,0.03973404,0.1458583,2.882131,0.1519989,0.1461794,0.5197005,deuteron,k+
173,M_Hermes,0.1641105,0.02984173,0.06200632,2.882131,0.1519989,0.1558673,0.6901832,deuteron,k+
174,M_Hermes,0.02616565,0.01805054,0.009856708,2.882131,0.1519989,0.161772,0.8871812,deuteron,k+
175,M_Hermes,0.2561478,0.01540522,0.1168656,2.882131,0.1519989,0.2253823,0.1013052,deuteron,k+
176,M_Hermes,0.4789942,0.0294438,0.07286812,2.882131,0.1519989,0.2231156,0.1996202,deuteron,k+
177,M_Hermes,0.4544875,0.03169747,0.06826699,2.882131,0.1519989,0.2242979,0.2975517,deuteron,k+
178,M_Hermes,0.4560599,0.0342992,0.06856051,2.882131,0.1519989,0.2236481,0.3990022,deuteron,k+
179,M_Hermes,0.2708907,0.02104618,0.04088655,2.882131,0.1519989,0.225357,0.5183773,deuteron,k+
180,M_Hermes,0.1353694,0.01746216,0.02179161,2.882131,0.1519989,0.2235525,0.6919742,deuteron,k+
181,M_Hermes,0.02346778,0.008267526,0.00373729,2.882131,0.1519989,0.2181856,0.8932338,deuteron,k+
182,M_Hermes,0.2203249,0.01248713,0.07342632,2.882131,0.1519989,0.2744165,0.09967642,deuteron,k+
183,M_Hermes,0.3815349,0.02223482,0.1143814,2.882131,0.1519989,0.2747613,0.2016838,deuteron,k+
184,M_Hermes,0.4493017,0.02777539,0.1347467,2.882131,0.1519989,0.2744047,0.3001312,deuteron,k+
185,M_Hermes,0.3471107,0.02683285,0.1041808,2.882131,0.1519989,0.2760568,0.3982917,deuteron,k+
186,M_Hermes,0.2538463,0.01856307,0.07633147,2.882131,0.1519989,0.2743473,0.518753,deuteron,k+
187,M_Hermes,0.1342657,0.01244895,0.06054471,2.882131,0.1519989,0.2798699,0.6945388,deuteron,k+
188,M_Hermes,0.01909351,0.004371198,0.008601264,2.882131,0.1519989,0.2739266,0.9108935,deuteron,k+
189,M_Hermes,0.1424306,0.00731115,0.03289703,2.882131,0.1519989,0.3356744,0.09977211,deuteron,k+
190,M_Hermes,0.2991093,0.01367393,0.1203723,2.882131,0.1519989,0.3352792,0.2021219,deuteron,k+
191,M_Hermes,0.312812,0.01657053,0.1260126,2.882131,0.1519989,0.3360477,0.3024788,deuteron,k+
192,M_Hermes,0.2988931,0.01790674,0.1203854,2.882131,0.1519989,0.3357144,0.4012563,deuteron,k+
193,M_Hermes,0.247737,0.01311516,0.09965401,2.882131,0.1519989,0.3361681,0.5172087,deuteron,k+
194,M_Hermes,0.09645801,0.007159625,0.03880236,2.882131,0.1519989,0.3365671,0.6848027,deuteron,k+
195,M_Hermes,0.01658834,0.002287543,0.006668893,2.882131,0.1519989,0.3354758,0.9221819,deuteron,k+
196,M_Hermes,0.08273723,0.004446506,0.01813717,2.882131,0.1519989,0.4183822,0.0982782,deuteron,k+
197,M_Hermes,0.1913297,0.009029349,0.08076328,2.882131,0.1519989,0.4214833,0.2019818,deuteron,k+
198,M_Hermes,0.2325576,0.01086745,0.0981424,2.882131,0.1519989,0.4218379,0.3012584,deuteron,k+
199,M_Hermes,0.2316459,0.0126208,0.09775209,2.882131,0.1519989,0.4197471,0.4011795,deuteron,k+
200,M_Hermes,0.1842836,0.009720507,0.07770862,2.882131,0.1519989,0.4205341,0.5195454,deuteron,k+
201,M_Hermes,0.1052254,0.006301618,0.04437817,2.882131,0.1519989,0.4263434,0.6852849,deuteron,k+
