  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
389,11.0,0.451478,0.474555,0.324288,4.409181,0.286888,AUT,0.0,0.014722,0.070207,0.002009,neutron,pi+,solid
390,11.0,0.367795,0.600758,0.328872,4.503259,0.436081,AUT,0.0,0.026518,0.070207,0.001743,neutron,pi+,solid
391,11.0,0.319897,0.644274,0.373389,4.251085,0.127349,AUT,0.0,0.008091,0.070207,0.001634,neutron,pi+,solid
392,11.0,0.357544,0.617466,0.373579,4.554985,0.125284,AUT,0.0,0.008531,0.070207,0.001738,neutron,pi+,solid
393,11.0,0.402552,0.551472,0.373661,4.572315,0.122891,AUT,0.0,0.009167,0.070207,0.001876,neutron,pi+,solid
394,11.0,0.462304,0.464326,0.373277,4.425308,0.136255,AUT,0.0,0.019477,0.070207,0.002089,neutron,pi+,solid
395,11.0,0.310565,0.654282,0.374021,4.192391,0.290476,AUT,0.0,0.009945,0.070207,0.001610,neutron,pi+,solid
396,11.0,0.340438,0.635664,0.374124,4.466464,0.288212,AUT,0.0,0.013964,0.070207,0.001690,neutron,pi+,solid
397,11.0,0.373625,0.600404,0.374120,4.625196,0.288900,AUT,0.0,0.023270,0.070207,0.001786,neutron,pi+,solid
398,11.0,0.436259,0.494203,0.374199,4.431747,0.288244,AUT,0.0,0.011872,0.070207,0.001991,neutron,pi+,solid
399,11.0,0.495580,0.442318,0.374119,4.525188,0.288518,AUT,0.0,0.060997,0.070207,0.002227,neutron,pi+,solid
400,11.0,0.337856,0.636135,0.375824,4.427625,0.466928,AUT,0.0,0.046570,0.070207,0.001683,neutron,pi+,solid
401,11.0,0.426322,0.517928,0.376018,4.525582,0.465458,AUT,0.0,0.032171,0.070207,0.001957,neutron,pi+,solid
402,11.0,0.328340,0.638667,0.423596,4.324234,0.127387,AUT,0.0,0.008219,0.070207,0.001676,neutron,pi+,solid
403,11.0,0.383899,0.580936,0.423561,4.592224,0.125884,AUT,0.0,0.008916,0.070207,0.001843,neutron,pi+,solid
404,11.0,0.450329,0.481021,0.423296,4.460989,0.133697,AUT,0.0,0.017391,0.070207,0.002079,neutron,pi+,solid
405,11.0,0.315277,0.650512,0.423981,4.230878,0.294361,AUT,0.0,0.009215,0.070207,0.001641,neutron,pi+,solid
406,11.0,0.352603,0.626564,0.424074,4.558344,0.289859,AUT,0.0,0.013308,0.070207,0.001747,neutron,pi+,solid
407,11.0,0.408623,0.538731,0.424164,4.524257,0.289230,AUT,0.0,0.012756,0.070207,0.001925,neutron,pi+,solid
408,11.0,0.475150,0.447115,0.423993,4.383759,0.292776,AUT,0.0,0.027542,0.070207,0.002181,neutron,pi+,solid
409,11.0,0.335155,0.637279,0.424512,4.400678,0.485129,AUT,0.0,0.053940,0.070207,0.001696,neutron,pi+,solid
410,11.0,0.424502,0.517501,0.424546,4.500619,0.483429,AUT,0.0,0.028166,0.070207,0.001981,neutron,pi+,solid
411,11.0,0.339513,0.629620,0.473573,4.404520,0.127836,AUT,0.0,0.008409,0.070207,0.001729,neutron,pi+,solid
412,11.0,0.416109,0.532525,0.473553,4.547070,0.129352,AUT,0.0,0.011586,0.070207,0.001981,neutron,pi+,solid
413,11.0,0.320799,0.646472,0.473847,4.277560,0.297647,AUT,0.0,0.008995,0.070207,0.001675,neutron,pi+,solid
414,11.0,0.371064,0.601807,0.474083,4.599064,0.291019,AUT,0.0,0.013119,0.070207,0.001827,neutron,pi+,solid
