i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment,Dependence
124,27.6,0.09568023,0.370227659740608,0.2298143,1.834674,0.6982417,M_Hermes,0.8040962,0.023545,0,0.1187028,deuteron,pi+,hermes,NA
125,27.6,0.09568023,0.370227659740608,0.2329231,1.834674,0.9603264,M_Hermes,0.1300672,0.01219521,0,0.01931511,deuteron,pi+,hermes,NA
126,27.6,0.09568023,0.370227659740608,0.2735603,1.834674,0.1016009,M_Hermes,1.153236,0.02145897,0,0.09753964,deuteron,pi+,hermes,NA
127,27.6,0.09568023,0.370227659740608,0.2738395,1.834674,0.202817,M_Hermes,2.442203,0.0425561,0,0.1127892,deuteron,pi+,hermes,NA
128,27.6,0.09568023,0.370227659740608,0.2745104,1.834674,0.3022138,M_Hermes,3.114973,0.05400584,0,0.09694557,deuteron,pi+,hermes,NA
129,27.6,0.09568023,0.370227659740608,0.274345,1.834674,0.4000219,M_Hermes,2.61725,0.05042276,0,0.07972977,deuteron,pi+,hermes,NA
130,27.6,0.09568023,0.370227659740608,0.275886,1.834674,0.5204878,M_Hermes,1.761447,0.03070802,0,0.04521615,deuteron,pi+,hermes,NA
131,27.6,0.09568023,0.370227659740608,0.2781415,1.834674,0.6888021,M_Hermes,0.6580065,0.01733607,0,0.0649086,deuteron,pi+,hermes,NA
132,27.6,0.09568023,0.370227659740608,0.2805371,1.834674,0.9353842,M_Hermes,0.1083303,0.006830539,0,0.01076896,deuteron,pi+,hermes,NA
133,27.6,0.09568023,0.370227659740608,0.3348701,1.834674,0.1013276,M_Hermes,0.7454595,0.01267625,0,0.03935962,deuteron,pi+,hermes,NA
134,27.6,0.09568023,0.370227659740608,0.3349779,1.834674,0.2032193,M_Hermes,1.547726,0.02464383,0,0.07234596,deuteron,pi+,hermes,NA
135,27.6,0.09568023,0.370227659740608,0.3350873,1.834674,0.3020482,M_Hermes,1.956563,0.03095216,0,0.1296345,deuteron,pi+,hermes,NA
136,27.6,0.09568023,0.370227659740608,0.3360125,1.834674,0.4005887,M_Hermes,1.894248,0.03391308,0,0.1298368,deuteron,pi+,hermes,NA
137,27.6,0.09568023,0.370227659740608,0.3361675,1.834674,0.5200269,M_Hermes,1.365071,0.02204565,0,0.06219339,deuteron,pi+,hermes,NA
138,27.6,0.09568023,0.370227659740608,0.3384726,1.834674,0.6873302,M_Hermes,0.5977008,0.01174717,0,0.03272407,deuteron,pi+,hermes,NA
139,27.6,0.09568023,0.370227659740608,0.3434213,1.834674,0.9366077,M_Hermes,0.096486,0.003844777,0,0.005546743,deuteron,pi+,hermes,NA
140,27.6,0.09568023,0.370227659740608,0.4200001,1.834674,0.1009333,M_Hermes,0.4122353,0.008089479,0,0.01395274,deuteron,pi+,hermes,NA
141,27.6,0.09568023,0.370227659740608,0.4203739,1.834674,0.2030719,M_Hermes,0.8688996,0.01487495,0,0.0701355,deuteron,pi+,hermes,NA
142,27.6,0.09568023,0.370227659740608,0.4203166,1.834674,0.3008107,M_Hermes,1.096176,0.01850978,0,0.1154769,deuteron,pi+,hermes,NA
143,27.6,0.09568023,0.370227659740608,0.4215361,1.834674,0.4004814,M_Hermes,1.077319,0.02108169,0,0.1187816,deuteron,pi+,hermes,NA
144,27.6,0.09568023,0.370227659740608,0.4232713,1.834674,0.5226439,M_Hermes,0.9069097,0.01602865,0,0.07892981,deuteron,pi+,hermes,NA
145,27.6,0.09568023,0.370227659740608,0.4262849,1.834674,0.687489,M_Hermes,0.4523459,0.009309649,0,0.008786471,deuteron,pi+,hermes,NA
146,27.6,0.09568023,0.370227659740608,0.4290696,1.834674,0.9271216,M_Hermes,0.0873711,0.002649873,0,0.00175388,deuteron,pi+,hermes,NA
147,27.6,0.09568023,0.370227659740608,0.5310592,1.834674,0.1023137,M_Hermes,0.2093456,0.005352722,0,0.01300042,deuteron,pi+,hermes,NA
148,27.6,0.09568023,0.370227659740608,0.5312194,1.834674,0.2024453,M_Hermes,0.4350489,0.009475353,0,0.04709857,deuteron,pi+,hermes,NA
149,27.6,0.09568023,0.370227659740608,0.5319149,1.834674,0.3012686,M_Hermes,0.5660125,0.0117488,0,0.07537494,deuteron,pi+,hermes,NA
150,27.6,0.09568023,0.370227659740608,0.5330657,1.834674,0.4009289,M_Hermes,0.6411525,0.01356994,0,0.08954063,deuteron,pi+,hermes,NA
151,27.6,0.09568023,0.370227659740608,0.533393,1.834674,0.5232779,M_Hermes,0.572074,0.01108971,0,0.06611179,deuteron,pi+,hermes,NA
152,27.6,0.09568023,0.370227659740608,0.5362996,1.834674,0.6873232,M_Hermes,0.3372784,0.007746286,0,0.0121401,deuteron,pi+,hermes,NA
153,27.6,0.09568023,0.370227659740608,0.5366559,1.834674,0.9192915,M_Hermes,0.08212849,0.002365384,0,0.003012306,deuteron,pi+,hermes,NA
154,27.6,0.09568023,0.370227659740608,0.6966864,1.834674,0.1020593,M_Hermes,0.09041304,0.003064604,0,0.004864474,deuteron,pi+,hermes,NA
155,27.6,0.09568023,0.370227659740608,0.6936873,1.834674,0.203389,M_Hermes,0.2175942,0.005638957,0,0.0216372,deuteron,pi+,hermes,NA
156,27.6,0.09568023,0.370227659740608,0.6906169,1.834674,0.3008295,M_Hermes,0.2870967,0.006596519,0,0.03640284,deuteron,pi+,hermes,NA
157,27.6,0.09568023,0.370227659740608,0.6900868,1.834674,0.3999731,M_Hermes,0.292478,0.007277593,0,0.03870467,deuteron,pi+,hermes,NA
158,27.6,0.09568023,0.370227659740608,0.6909862,1.834674,0.522124,M_Hermes,0.2844511,0.005731657,0,0.0316678,deuteron,pi+,hermes,NA
159,27.6,0.09568023,0.370227659740608,0.6897071,1.834674,0.6903617,M_Hermes,0.1992646,0.00471843,0,0.008011832,deuteron,pi+,hermes,NA
160,27.6,0.09568023,0.370227659740608,0.689755,1.834674,0.937808,M_Hermes,0.0618032,0.001716153,0,0.002342597,deuteron,pi+,hermes,NA
161,27.6,0.09568023,0.370227659740608,0.8958715,1.834674,0.1007186,M_Hermes,0.04699319,0.001228193,0,0.002637678,deuteron,pi+,hermes,NA
162,27.6,0.09568023,0.370227659740608,0.8927154,1.834674,0.2026154,M_Hermes,0.0755702,0.002205762,0,0.007673605,deuteron,pi+,hermes,NA
163,27.6,0.09568023,0.370227659740608,0.8858308,1.834674,0.2984978,M_Hermes,0.08865972,0.002561222,0,0.01123106,deuteron,pi+,hermes,NA
164,27.6,0.09568023,0.370227659740608,0.8769476,1.834674,0.399294,M_Hermes,0.07452817,0.00255247,0,0.01000952,deuteron,pi+,hermes,NA
165,27.6,0.09568023,0.370227659740608,0.8726618,1.834674,0.5215296,M_Hermes,0.0572009,0.001877462,0,0.006392297,deuteron,pi+,hermes,NA
166,27.6,0.09568023,0.370227659740608,0.8613953,1.834674,0.6874319,M_Hermes,0.04035034,0.001463967,0,0.001659793,deuteron,pi+,hermes,NA
167,27.6,0.09568023,0.370227659740608,0.8551444,1.834674,0.9380541,M_Hermes,0.01485311,0.0006703811,0,0.0005926516,deuteron,pi+,hermes,NA
168,27.6,0.1519989,0.366104812416266,0.1414249,2.882131,0.1026041,M_Hermes,3.456068,0.05018025,0,0.3373422,deuteron,pi+,hermes,NA
169,27.6,0.1519989,0.366104812416266,0.1417611,2.882131,0.2030336,M_Hermes,7.282509,0.1013581,0,1.519046,deuteron,pi+,hermes,NA
170,27.6,0.1519989,0.366104812416266,0.1440037,2.882131,0.299608,M_Hermes,7.671923,0.107855,0,1.35413,deuteron,pi+,hermes,NA
171,27.6,0.1519989,0.366104812416266,0.1449414,2.882131,0.3988474,M_Hermes,5.420896,0.09144082,0,0.9266295,deuteron,pi+,hermes,NA
172,27.6,0.1519989,0.366104812416266,0.1444358,2.882131,0.5185592,M_Hermes,3.117374,0.06918368,0,0.6021659,deuteron,pi+,hermes,NA
