  ,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
150,11.0,0.204904,0.369383,0.573865,1.546305,0.131264,AUT,0.0,0.007284,0.070207,0.009115,proton,pi-,solid
151,11.0,0.091115,0.660499,0.573295,1.226937,0.313074,AUT,0.0,0.008630,0.070207,0.009335,proton,pi-,solid
152,11.0,0.124572,0.538185,0.573675,1.379055,0.306951,AUT,0.0,0.007009,0.070207,0.009332,proton,pi-,solid
153,11.0,0.156540,0.447815,0.573779,1.441763,0.302804,AUT,0.0,0.006604,0.070207,0.009259,proton,pi-,solid
154,11.0,0.208633,0.369997,0.573418,1.582326,0.296607,AUT,0.0,0.007206,0.070207,0.009100,proton,pi-,solid
155,11.0,0.297606,0.316292,0.568438,1.942858,0.273619,AUT,0.0,0.121089,0.070207,0.008870,proton,pi-,solid
156,11.0,0.083587,0.691851,0.573684,1.180689,0.500580,AUT,0.0,0.007035,0.070207,0.009327,proton,pi-,solid
157,11.0,0.111938,0.576892,0.573856,1.329158,0.497526,AUT,0.0,0.006537,0.070207,0.009347,proton,pi-,solid
158,11.0,0.140914,0.489939,0.573930,1.419941,0.493933,AUT,0.0,0.007270,0.070207,0.009300,proton,pi-,solid
159,11.0,0.189675,0.407109,0.573258,1.581469,0.487030,AUT,0.0,0.008664,0.070207,0.009151,proton,pi-,solid
160,11.0,0.088608,0.668836,0.574384,1.205621,0.688551,AUT,0.0,0.006665,0.070207,0.009334,proton,pi-,solid
161,11.0,0.134486,0.521734,0.574413,1.435350,0.684035,AUT,0.0,0.006664,0.070207,0.009307,proton,pi-,solid
162,11.0,0.192936,0.431787,0.573180,1.713474,0.675337,AUT,0.0,0.013407,0.070207,0.009129,proton,pi-,solid
163,11.0,0.108139,0.629695,0.575317,1.357163,0.919247,AUT,0.0,0.006585,0.070207,0.009314,proton,pi-,solid
164,11.0,0.149486,0.476281,0.623311,1.410634,0.132606,AUT,0.0,0.007799,0.070207,0.009373,proton,pi-,solid
165,11.0,0.241782,0.345947,0.621563,1.723384,0.129021,AUT,0.0,0.017472,0.070207,0.009152,proton,pi-,solid
166,11.0,0.100559,0.619853,0.623283,1.266001,0.313593,AUT,0.0,0.008081,0.070207,0.009429,proton,pi-,solid
167,11.0,0.145647,0.475388,0.623726,1.420301,0.304465,AUT,0.0,0.006499,0.070207,0.009401,proton,pi-,solid
168,11.0,0.200224,0.389632,0.622633,1.600599,0.295897,AUT,0.0,0.008143,0.070207,0.009255,proton,pi-,solid
169,11.0,0.089411,0.664744,0.623677,1.210244,0.501775,AUT,0.0,0.006923,0.070207,0.009416,proton,pi-,solid
170,11.0,0.125858,0.533054,0.623887,1.378151,0.496872,AUT,0.0,0.006884,0.070207,0.009434,proton,pi-,solid
171,11.0,0.174097,0.440837,0.623096,1.571957,0.488185,AUT,0.0,0.009175,0.070207,0.009322,proton,pi-,solid
172,11.0,0.092791,0.651673,0.624209,1.227410,0.691250,AUT,0.0,0.006654,0.070207,0.009421,proton,pi-,solid
173,11.0,0.145552,0.508433,0.623540,1.512529,0.683732,AUT,0.0,0.008471,0.070207,0.009389,proton,pi-,solid
174,11.0,0.104312,0.640837,0.624584,1.340137,0.927410,AUT,0.0,0.007158,0.070207,0.009410,proton,pi-,solid
175,11.0,0.106518,0.591353,0.673278,1.280088,0.277129,AUT,0.0,0.008511,0.070207,0.009548,proton,pi-,solid
176,11.0,0.151746,0.464273,0.673241,1.447638,0.250882,AUT,0.0,0.006861,0.070207,0.009531,proton,pi-,solid
177,11.0,0.201250,0.404662,0.671632,1.675074,0.233186,AUT,0.0,0.009389,0.070207,0.009418,proton,pi-,solid
178,11.0,0.096932,0.633739,0.673609,1.245840,0.502218,AUT,0.0,0.006744,0.070207,0.009533,proton,pi-,solid
179,11.0,0.151504,0.490738,0.672944,1.519541,0.491440,AUT,0.0,0.007709,0.070207,0.009523,proton,pi-,solid
180,11.0,0.098560,0.632648,0.673863,1.261538,0.692382,AUT,0.0,0.006939,0.070207,0.009533,proton,pi-,solid
181,11.0,0.151538,0.520565,0.672423,1.620803,0.681511,AUT,0.0,0.015102,0.070207,0.009519,proton,pi-,solid
182,11.0,0.099343,0.661699,0.673774,1.327011,0.929955,AUT,0.0,0.008717,0.070207,0.009520,proton,pi-,solid
183,11.0,0.139402,0.779172,0.323286,2.233134,0.125481,AUT,0.0,0.007403,0.070207,0.008857,proton,pi-,solid
184,11.0,0.168192,0.685098,0.323961,2.374618,0.125990,AUT,0.0,0.006773,0.070207,0.008742,proton,pi-,solid
185,11.0,0.197032,0.597933,0.323915,2.426958,0.129725,AUT,0.0,0.007034,0.070207,0.008627,proton,pi-,solid
186,11.0,0.238891,0.495640,0.323843,2.432807,0.132783,AUT,0.0,0.007133,0.070207,0.008478,proton,pi-,solid
187,11.0,0.309454,0.393308,0.323763,2.500750,0.132835,AUT,0.0,0.007018,0.070207,0.008271,proton,pi-,solid
188,11.0,0.136019,0.796493,0.324178,2.226630,0.290413,AUT,0.0,0.010252,0.070207,0.008871,proton,pi-,solid
189,11.0,0.161752,0.696890,0.323939,2.324317,0.293592,AUT,0.0,0.008368,0.070207,0.008771,proton,pi-,solid
190,11.0,0.181535,0.631388,0.323849,2.364044,0.295618,AUT,0.0,0.007240,0.070207,0.008690,proton,pi-,solid
191,11.0,0.200130,0.583481,0.323771,2.409116,0.297807,AUT,0.0,0.006900,0.070207,0.008616,proton,pi-,solid
192,11.0,0.218646,0.541806,0.323803,2.443784,0.299311,AUT,0.0,0.006783,0.070207,0.008546,proton,pi-,solid
193,11.0,0.239838,0.493450,0.323875,2.440910,0.299362,AUT,0.0,0.006712,0.070207,0.008474,proton,pi-,solid
194,11.0,0.266595,0.441684,0.323962,2.427793,0.298555,AUT,0.0,0.006584,0.070207,0.008391,proton,pi-,solid
195,11.0,0.304591,0.392138,0.324003,2.462028,0.296720,AUT,0.0,0.006358,0.070207,0.008285,proton,pi-,solid
196,11.0,0.352855,0.370307,0.323837,2.695826,0.296908,AUT,0.0,0.010715,0.070207,0.008153,proton,pi-,solid
197,11.0,0.150688,0.732437,0.324672,2.258140,0.483622,AUT,0.0,0.009778,0.070207,0.008816,proton,pi-,solid
198,11.0,0.190029,0.611652,0.324703,2.394661,0.482135,AUT,0.0,0.007266,0.070207,0.008657,proton,pi-,solid
