i,Ebeam,x,y,z,Q2,pT,obs,value,stat,systrel,systabs,target,hadron,Experiment
301,11.0,0.270052,0.446814,0.373812,2.489918,0.119017,AUT,0.0,0.003783,0.070207,0.001457,neutron,pi+,solid
302,11.0,0.289521,0.418950,0.373833,2.502698,0.122499,AUT,0.0,0.003766,0.070207,0.001492,neutron,pi+,solid
303,11.0,0.318418,0.391414,0.374167,2.570862,0.130823,AUT,0.0,0.004118,0.070207,0.001543,neutron,pi+,solid
304,11.0,0.360395,0.370343,0.373363,2.753817,0.142548,AUT,0.0,0.012361,0.070207,0.001621,neutron,pi+,solid
305,11.0,0.144533,0.703045,0.373078,2.094778,0.310743,AUT,0.0,0.003068,0.070207,0.001223,neutron,pi+,solid
306,11.0,0.159386,0.659148,0.373414,2.168031,0.305689,AUT,0.0,0.003206,0.070207,0.001251,neutron,pi+,solid
307,11.0,0.169981,0.633110,0.373670,2.221038,0.300818,AUT,0.0,0.003328,0.070207,0.001271,neutron,pi+,solid
308,11.0,0.179572,0.613146,0.373856,2.272462,0.296648,AUT,0.0,0.003584,0.070207,0.001290,neutron,pi+,solid
309,11.0,0.188648,0.596031,0.373975,2.320750,0.293615,AUT,0.0,0.004001,0.070207,0.001307,neutron,pi+,solid
310,11.0,0.197762,0.580644,0.374068,2.370064,0.291917,AUT,0.0,0.004481,0.070207,0.001325,neutron,pi+,solid
311,11.0,0.207347,0.564970,0.374162,2.417822,0.290763,AUT,0.0,0.005281,0.070207,0.001343,neutron,pi+,solid
312,11.0,0.217611,0.549132,0.374141,2.466351,0.290149,AUT,0.0,0.006165,0.070207,0.001362,neutron,pi+,solid
313,11.0,0.228909,0.528228,0.374206,2.495447,0.289474,AUT,0.0,0.007842,0.070207,0.001383,neutron,pi+,solid
314,11.0,0.241751,0.500851,0.374202,2.498594,0.289706,AUT,0.0,0.010508,0.070207,0.001407,neutron,pi+,solid
315,11.0,0.257404,0.468035,0.374134,2.485816,0.290534,AUT,0.0,0.010859,0.070207,0.001435,neutron,pi+,solid
316,11.0,0.277042,0.433014,0.374185,2.474925,0.290449,AUT,0.0,0.008252,0.070207,0.001470,neutron,pi+,solid
317,11.0,0.301321,0.399726,0.374792,2.484837,0.288997,AUT,0.0,0.006916,0.070207,0.001513,neutron,pi+,solid
318,11.0,0.338134,0.375949,0.374996,2.622133,0.286605,AUT,0.0,0.007076,0.070207,0.001579,neutron,pi+,solid
319,11.0,0.383173,0.362792,0.374459,2.869264,0.285625,AUT,0.0,0.027726,0.070207,0.001667,neutron,pi+,solid
320,11.0,0.144499,0.706249,0.374288,2.103463,0.484712,AUT,0.0,0.003893,0.070207,0.001223,neutron,pi+,solid
321,11.0,0.164094,0.653648,0.374471,2.212703,0.483084,AUT,0.0,0.006999,0.070207,0.001260,neutron,pi+,solid
322,11.0,0.182099,0.612397,0.374408,2.300679,0.484892,AUT,0.0,0.010304,0.070207,0.001295,neutron,pi+,solid
323,11.0,0.201146,0.573972,0.374289,2.381870,0.486346,AUT,0.0,0.009842,0.070207,0.001331,neutron,pi+,solid
324,11.0,0.222216,0.535797,0.374260,2.456051,0.487220,AUT,0.0,0.008133,0.070207,0.001371,neutron,pi+,solid
325,11.0,0.247326,0.485230,0.374108,2.474409,0.488336,AUT,0.0,0.007113,0.070207,0.001416,neutron,pi+,solid
326,11.0,0.282371,0.424367,0.374196,2.468870,0.489163,AUT,0.0,0.007964,0.070207,0.001479,neutron,pi+,solid
327,11.0,0.333995,0.378613,0.374739,2.606452,0.488636,AUT,0.0,0.015805,0.070207,0.001572,neutron,pi+,solid
328,11.0,0.162045,0.658532,0.374445,2.190302,0.682398,AUT,0.0,0.003308,0.070207,0.001256,neutron,pi+,solid
329,11.0,0.208763,0.557087,0.374450,2.393906,0.682738,AUT,0.0,0.004507,0.070207,0.001345,neutron,pi+,solid
330,11.0,0.268042,0.453543,0.374666,2.492797,0.676745,AUT,0.0,0.009891,0.070207,0.001453,neutron,pi+,solid
331,11.0,0.338717,0.392135,0.373322,2.739925,0.654916,AUT,0.0,0.074642,0.070207,0.001581,neutron,pi+,solid
332,11.0,0.197598,0.601428,0.378450,2.396464,0.857667,AUT,0.0,0.014985,0.070207,0.001320,neutron,pi+,solid
333,11.0,0.173716,0.613941,0.423121,2.193523,0.141716,AUT,0.0,0.003235,0.070207,0.001286,neutron,pi+,solid
334,11.0,0.200814,0.554851,0.423554,2.298693,0.129153,AUT,0.0,0.003411,0.070207,0.001339,neutron,pi+,solid
335,11.0,0.218945,0.524967,0.423666,2.371824,0.125183,AUT,0.0,0.003541,0.070207,0.001374,neutron,pi+,solid
336,11.0,0.235588,0.500227,0.423724,2.431864,0.122741,AUT,0.0,0.003667,0.070207,0.001406,neutron,pi+,solid
337,11.0,0.253239,0.472569,0.423768,2.469331,0.121701,AUT,0.0,0.003707,0.070207,0.001439,neutron,pi+,solid
338,11.0,0.274584,0.440933,0.423719,2.497724,0.122529,AUT,0.0,0.003771,0.070207,0.001478,neutron,pi+,solid
339,11.0,0.305393,0.401718,0.423482,2.529527,0.129584,AUT,0.0,0.003907,0.070207,0.001534,neutron,pi+,solid
340,11.0,0.349645,0.374596,0.423195,2.701650,0.142629,AUT,0.0,0.010186,0.070207,0.001617,neutron,pi+,solid
341,11.0,0.149097,0.688687,0.423301,2.115612,0.311404,AUT,0.0,0.003118,0.070207,0.001239,neutron,pi+,solid
342,11.0,0.167519,0.636808,0.423496,2.201167,0.305760,AUT,0.0,0.003241,0.070207,0.001275,neutron,pi+,solid
343,11.0,0.180642,0.608056,0.423674,2.266802,0.300452,AUT,0.0,0.003463,0.070207,0.001300,neutron,pi+,solid
344,11.0,0.192450,0.586147,0.423873,2.328114,0.296268,AUT,0.0,0.003853,0.070207,0.001324,neutron,pi+,solid
345,11.0,0.204048,0.567862,0.423993,2.391426,0.293695,AUT,0.0,0.004417,0.070207,0.001346,neutron,pi+,solid
346,11.0,0.216386,0.549218,0.424031,2.452724,0.292344,AUT,0.0,0.005183,0.070207,0.001370,neutron,pi+,solid
347,11.0,0.230278,0.524947,0.424108,2.494519,0.290773,AUT,0.0,0.006602,0.070207,0.001397,neutron,pi+,solid
348,11.0,0.246700,0.490388,0.424095,2.496002,0.290113,AUT,0.0,0.009016,0.070207,0.001427,neutron,pi+,solid
349,11.0,0.267557,0.449159,0.424183,2.478891,0.290096,AUT,0.0,0.007838,0.070207,0.001465,neutron,pi+,solid
350,11.0,0.294409,0.406105,0.424237,2.465788,0.288594,AUT,0.0,0.005466,0.070207,0.001514,neutron,pi+,solid
351,11.0,0.332587,0.375617,0.424175,2.577040,0.287465,AUT,0.0,0.005839,0.070207,0.001584,neutron,pi+,solid
352,11.0,0.379521,0.363458,0.424005,2.847081,0.288759,AUT,0.0,0.023719,0.070207,0.001677,neutron,pi+,solid
353,11.0,0.147341,0.697298,0.424139,2.116914,0.489519,AUT,0.0,0.003435,0.070207,0.001236,neutron,pi+,solid
354,11.0,0.169630,0.640878,0.424409,2.242388,0.484160,AUT,0.0,0.005553,0.070207,0.001279,neutron,pi+,solid
355,11.0,0.190831,0.595337,0.424373,2.343422,0.485302,AUT,0.0,0.010445,0.070207,0.001321,neutron,pi+,solid
356,11.0,0.213909,0.552055,0.424316,2.435790,0.486818,AUT,0.0,0.013040,0.070207,0.001365,neutron,pi+,solid
357,11.0,0.241874,0.497280,0.424277,2.479055,0.487993,AUT,0.0,0.009729,0.070207,0.001418,neutron,pi+,solid
358,11.0,0.283430,0.423867,0.424252,2.472756,0.488188,AUT,0.0,0.008807,0.070207,0.001494,neutron,pi+,solid
359,11.0,0.338085,0.375324,0.424019,2.616786,0.485483,AUT,0.0,0.019881,0.070207,0.001595,neutron,pi+,solid
360,11.0,0.164581,0.652879,0.424388,2.202915,0.684987,AUT,0.0,0.004847,0.070207,0.001268,neutron,pi+,solid
361,11.0,0.219744,0.535145,0.424175,2.416149,0.687260,AUT,0.0,0.004487,0.070207,0.001375,neutron,pi+,solid
362,11.0,0.284863,0.432458,0.423738,2.531803,0.679314,AUT,0.0,0.011484,0.070207,0.001496,neutron,pi+,solid
363,11.0,0.200948,0.587206,0.426266,2.378188,0.880102,AUT,0.0,0.006850,0.070207,0.001336,neutron,pi+,solid
364,11.0,0.181818,0.593694,0.473270,2.218965,0.137536,AUT,0.0,0.003298,0.070207,0.001310,neutron,pi+,solid
365,11.0,0.213441,0.531547,0.473592,2.340301,0.127299,AUT,0.0,0.003500,0.070207,0.001373,neutron,pi+,solid
366,11.0,0.236440,0.497015,0.473688,2.424445,0.124649,AUT,0.0,0.003668,0.070207,0.001418,neutron,pi+,solid
367,11.0,0.260812,0.461146,0.473707,2.480850,0.123790,AUT,0.0,0.003761,0.070207,0.001465,neutron,pi+,solid
368,11.0,0.296409,0.413832,0.473575,2.527348,0.128585,AUT,0.0,0.003865,0.070207,0.001531,neutron,pi+,solid
369,11.0,0.346247,0.377015,0.473302,2.692368,0.143977,AUT,0.0,0.011361,0.070207,0.001627,neutron,pi+,solid
370,11.0,0.157321,0.661704,0.471931,2.144120,0.310441,AUT,0.0,0.003137,0.070207,0.001262,neutron,pi+,solid
371,11.0,0.179114,0.608797,0.473568,2.249821,0.304270,AUT,0.0,0.003346,0.070207,0.001305,neutron,pi+,solid
372,11.0,0.195280,0.578673,0.473852,2.331929,0.298544,AUT,0.0,0.003728,0.070207,0.001338,neutron,pi+,solid
373,11.0,0.210770,0.554898,0.473936,2.413574,0.295216,AUT,0.0,0.004422,0.070207,0.001369,neutron,pi+,solid
374,11.0,0.227343,0.528813,0.474024,2.480628,0.293014,AUT,0.0,0.005498,0.070207,0.001401,neutron,pi+,solid
375,11.0,0.247217,0.488665,0.474107,2.491810,0.290639,AUT,0.0,0.007236,0.070207,0.001439,neutron,pi+,solid
376,11.0,0.273568,0.438077,0.474165,2.471093,0.289636,AUT,0.0,0.005726,0.070207,0.001488,neutron,pi+,solid
377,11.0,0.308964,0.390362,0.474150,2.486829,0.289402,AUT,0.0,0.004691,0.070207,0.001554,neutron,pi+,solid
378,11.0,0.354256,0.369377,0.474124,2.699775,0.292138,AUT,0.0,0.009552,0.070207,0.001643,neutron,pi+,solid
379,11.0,0.155237,0.671722,0.472019,2.148099,0.491157,AUT,0.0,0.003439,0.070207,0.001258,neutron,pi+,solid
380,11.0,0.181359,0.615205,0.474256,2.301001,0.485779,AUT,0.0,0.005661,0.070207,0.001310,neutron,pi+,solid
381,11.0,0.207408,0.565116,0.474349,2.416981,0.486672,AUT,0.0,0.011382,0.070207,0.001362,neutron,pi+,solid
382,11.0,0.239643,0.502189,0.474267,2.478938,0.488249,AUT,0.0,0.012184,0.070207,0.001425,neutron,pi+,solid
383,11.0,0.291452,0.415557,0.474159,2.489697,0.487330,AUT,0.0,0.009183,0.070207,0.001521,neutron,pi+,solid
384,11.0,0.354023,0.372638,0.473523,2.721760,0.476996,AUT,0.0,0.032845,0.070207,0.001642,neutron,pi+,solid
